Evacuees;Number of debris;Level of destruction;HP Tire;Mission status
1;1;0.04;176;Completed
1;1;0.01;178;Completed
1;1;0.01;188;Completed
1;1;0.02;181;Completed
1;1;0.0;185;Completed
1;1;0.04;186;Completed
1;1;0.03;189;Completed
1;1;0.04;198;Completed
1;1;0.01;197;Completed
1;1;0.0;190;Completed
1;1;0.03;199;Completed
1;1;0.02;194;Completed
1;1;0.05;6;Failed
1;1;0.06;1;Failed
1;1;0.07;4;Failed
1;1;0.08;2;Failed
1;1;0.09;8;Failed
1;1;0.09;18;Completed
1;1;0.08;11;Completed
1;1;0.07;12;Completed
1;1;0.06;16;Completed
1;1;0.05;13;Completed
1;1;0.09;21;Completed
1;1;0.08;20;Completed
1;1;0.06;22;Completed
1;1;0.05;23;Completed
1;1;0.07;28;Completed
1;1;0.07;30;Completed
1;1;0.05;32;Completed
1;1;0.09;35;Completed
1;1;0.06;39;Completed
1;1;0.08;34;Completed
1;1;0.07;41;Completed
1;1;0.06;46;Completed
1;1;0.09;47;Completed
1;1;0.05;44;Completed
1;1;0.08;42;Completed
1;1;0.07;58;Completed
1;1;0.09;59;Completed
1;1;0.05;51;Completed
1;1;0.08;56;Completed
1;1;0.06;53;Completed
1;1;0.07;62;Completed
1;1;0.09;66;Completed
1;1;0.05;64;Completed
1;1;0.06;68;Completed
1;1;0.08;60;Completed
1;1;0.05;77;Completed
1;1;0.06;73;Completed
1;1;0.07;79;Completed
1;1;0.08;75;Completed
1;1;0.09;71;Completed
1;1;0.05;83;Completed
1;1;0.07;88;Completed
1;1;0.09;87;Completed
1;1;0.06;81;Completed
1;1;0.08;80;Completed
1;1;0.08;93;Completed
1;1;0.05;91;Completed
1;1;0.07;94;Completed
1;1;0.09;98;Completed
1;1;0.06;97;Completed
1;1;0.05;104;Completed
1;1;0.08;101;Completed
1;1;0.07;108;Completed
1;1;0.06;102;Completed
1;1;0.09;103;Completed
1;1;0.08;115;Completed
1;1;0.06;112;Completed
1;1;0.05;119;Completed
1;1;0.09;111;Completed
1;1;0.07;113;Completed
1;1;0.06;123;Completed
1;1;0.09;126;Completed
1;1;0.08;122;Completed
1;1;0.07;129;Completed
1;1;0.05;127;Completed
1;1;0.05;131;Completed
1;1;0.08;135;Completed
1;1;0.06;136;Completed
1;1;0.09;134;Completed
1;1;0.07;133;Completed
1;1;0.06;142;Completed
1;1;0.05;144;Completed
1;1;0.08;147;Completed
1;1;0.09;149;Completed
1;1;0.07;140;Completed
1;1;0.05;154;Completed
1;1;0.07;157;Completed
1;1;0.08;150;Completed
1;1;0.09;159;Completed
1;1;0.06;158;Completed
1;1;0.07;160;Completed
1;1;0.09;166;Completed
1;1;0.05;165;Completed
1;1;0.06;169;Completed
1;1;0.08;162;Completed
1;1;0.08;178;Completed
1;1;0.06;172;Completed
1;1;0.05;177;Completed
1;1;0.09;171;Completed
1;1;0.07;173;Completed
1;1;0.07;188;Completed
1;1;0.06;186;Completed
1;1;0.08;189;Completed
1;1;0.05;181;Completed
1;1;0.09;182;Completed
1;1;0.07;195;Completed
1;1;0.08;194;Completed
1;1;0.05;191;Completed
1;1;0.06;197;Completed
1;1;0.09;196;Completed
1;1;0.11;8;Failed
1;1;0.14;0;Failed
1;1;0.13;6;Failed
1;1;0.12;9;Completed
1;1;0.1;1;Failed
1;1;0.1;12;Completed
1;1;0.14;18;Completed
1;1;0.11;13;Completed
1;1;0.12;11;Completed
1;1;0.13;16;Completed
1;1;0.11;21;Completed
1;1;0.13;23;Completed
1;1;0.12;27;Completed
1;1;0.14;24;Completed
1;1;0.1;29;Completed
1;1;0.13;37;Completed
1;1;0.11;35;Completed
1;1;0.14;33;Completed
1;1;0.1;32;Completed
1;1;0.12;30;Completed
1;1;0.13;46;Completed
1;1;0.1;49;Completed
1;1;0.12;40;Completed
1;1;0.11;48;Completed
1;1;0.14;42;Completed
1;1;0.12;50;Completed
1;1;0.14;55;Completed
1;1;0.13;59;Completed
1;1;0.11;51;Completed
1;1;0.1;57;Completed
1;1;0.12;65;Completed
1;1;0.1;67;Completed
1;1;0.14;64;Completed
1;1;0.13;61;Completed
1;1;0.11;66;Completed
1;1;0.11;75;Completed
1;1;0.1;73;Completed
1;1;0.13;72;Completed
1;1;0.12;71;Completed
1;1;0.14;78;Completed
1;1;0.13;87;Completed
1;1;0.12;81;Completed
1;1;0.11;80;Completed
1;1;0.14;83;Completed
1;1;0.1;89;Completed
1;1;0.14;96;Completed
1;1;0.11;92;Completed
1;1;0.12;90;Completed
1;1;0.13;95;Completed
1;1;0.1;97;Completed
1;1;0.1;100;Completed
1;1;0.14;102;Completed
1;1;0.13;104;Completed
1;1;0.11;103;Completed
1;1;0.12;107;Completed
1;1;0.14;118;Completed
1;1;0.1;114;Completed
1;1;0.11;113;Completed
1;1;0.12;111;Completed
1;1;0.13;117;Completed
1;1;0.13;129;Completed
1;1;0.14;126;Completed
1;1;0.1;123;Completed
1;1;0.11;125;Completed
1;1;0.12;120;Completed
1;1;0.11;137;Completed
1;1;0.12;138;Completed
1;1;0.14;131;Completed
1;1;0.13;130;Completed
1;1;0.1;132;Completed
1;1;0.13;145;Completed
1;1;0.11;149;Completed
1;1;0.1;142;Completed
1;1;0.12;144;Completed
1;1;0.14;140;Completed
1;1;0.12;156;Completed
1;1;0.14;151;Completed
1;1;0.11;154;Completed
1;1;0.13;150;Completed
1;1;0.1;153;Completed
1;1;0.11;162;Completed
1;1;0.12;169;Completed
1;1;0.14;161;Completed
1;1;0.1;164;Completed
1;1;0.13;168;Completed
1;1;0.13;179;Completed
1;1;0.12;172;Completed
1;1;0.11;175;Completed
1;1;0.14;177;Completed
1;1;0.1;176;Completed
1;1;0.11;188;Completed
1;1;0.1;186;Completed
1;1;0.14;184;Completed
1;1;0.12;187;Completed
1;1;0.13;185;Completed
1;1;0.14;190;Completed
1;1;0.1;197;Completed
1;1;0.12;198;Completed
1;1;0.13;195;Completed
1;1;0.11;193;Completed
1;1;0.16;1;Failed
1;1;0.18;4;Failed
1;1;0.17;0;Failed
1;1;0.15;7;Failed
1;1;0.19;9;Completed
1;1;0.19;10;Completed
1;1;0.18;15;Completed
1;1;0.17;16;Completed
1;1;0.15;18;Completed
1;1;0.16;14;Completed
1;1;0.17;26;Completed
1;1;0.15;29;Completed
1;1;0.18;25;Completed
1;1;0.19;28;Completed
1;1;0.16;27;Completed
1;1;0.15;39;Completed
1;1;0.18;33;Completed
1;1;0.16;31;Completed
1;1;0.17;38;Completed
1;1;0.19;34;Completed
1;1;0.15;43;Completed
1;1;0.17;41;Completed
1;1;0.19;42;Completed
1;1;0.16;49;Completed
1;1;0.18;46;Completed
1;1;0.18;56;Completed
1;1;0.19;57;Completed
1;1;0.16;51;Completed
1;1;0.17;53;Completed
1;1;0.15;52;Completed
1;1;0.19;66;Completed
1;1;0.18;68;Completed
1;1;0.15;67;Completed
1;1;0.17;65;Completed
1;1;0.16;69;Completed
1;1;0.18;70;Completed
1;1;0.15;79;Completed
1;1;0.17;78;Completed
1;1;0.19;72;Completed
1;1;0.16;74;Completed
1;1;0.19;86;Completed
1;1;0.15;88;Completed
1;1;0.18;80;Completed
1;1;0.16;84;Completed
1;1;0.17;83;Completed
1;1;0.16;94;Completed
1;1;0.15;97;Completed
1;1;0.19;91;Completed
1;1;0.18;95;Completed
1;1;0.17;90;Completed
1;1;0.18;101;Completed
1;1;0.15;106;Completed
1;1;0.19;104;Completed
1;1;0.16;107;Completed
1;1;0.17;103;Completed
1;1;0.18;116;Completed
1;1;0.19;112;Completed
1;1;0.17;114;Completed
1;1;0.16;110;Completed
1;1;0.15;113;Completed
1;1;0.17;121;Completed
1;1;0.16;120;Completed
1;1;0.15;124;Completed
1;1;0.19;128;Completed
1;1;0.18;125;Completed
1;1;0.17;134;Completed
1;1;0.19;133;Completed
1;1;0.18;136;Completed
1;1;0.16;135;Completed
1;1;0.15;139;Completed
1;1;0.17;142;Completed
1;1;0.18;140;Completed
1;1;0.19;146;Completed
1;1;0.15;148;Completed
1;1;0.16;145;Completed
1;1;0.15;156;Completed
1;1;0.17;154;Completed
1;1;0.19;151;Completed
1;1;0.18;150;Completed
1;1;0.16;157;Completed
1;1;0.18;169;Completed
1;1;0.17;164;Completed
1;1;0.15;162;Completed
1;1;0.19;166;Completed
1;1;0.16;160;Completed
1;1;0.17;178;Completed
1;1;0.18;173;Completed
1;1;0.16;172;Completed
1;1;0.19;175;Completed
1;1;0.15;174;Completed
1;1;0.15;187;Completed
1;1;0.17;184;Completed
1;1;0.19;185;Completed
1;1;0.16;181;Completed
1;1;0.18;180;Completed
1;1;0.17;192;Completed
1;1;0.15;190;Completed
1;1;0.19;196;Completed
1;1;0.16;198;Completed
1;1;0.18;195;Completed
1;1;0.22;8;Failed
1;1;0.21;4;Failed
1;1;0.2;0;Failed
1;1;0.24;2;Failed
1;1;0.23;7;Failed
1;1;0.24;12;Completed
1;1;0.22;10;Completed
1;1;0.2;17;Completed
1;1;0.23;19;Completed
1;1;0.21;15;Completed
1;1;0.23;27;Completed
1;1;0.21;21;Completed
1;1;0.24;22;Completed
1;1;0.22;28;Completed
1;1;0.2;24;Completed
1;1;0.2;37;Completed
1;1;0.21;32;Completed
1;1;0.24;31;Completed
1;1;0.22;33;Completed
1;1;0.23;34;Completed
1;1;0.23;49;Completed
1;1;0.21;41;Completed
1;1;0.24;45;Completed
1;1;0.22;42;Completed
1;1;0.2;46;Completed
1;1;0.22;57;Completed
1;1;0.21;51;Completed
1;1;0.2;58;Completed
1;1;0.24;50;Completed
1;1;0.23;52;Completed
1;1;0.21;65;Completed
1;1;0.24;69;Completed
1;1;0.2;66;Completed
1;1;0.23;61;Completed
1;1;0.22;60;Completed
1;1;0.23;78;Completed
1;1;0.2;73;Completed
1;1;0.24;77;Completed
1;1;0.22;74;Completed
1;1;0.21;79;Completed
1;1;0.24;80;Completed
1;1;0.2;89;Completed
1;1;0.23;81;Completed
1;1;0.22;85;Completed
1;1;0.21;84;Completed
1;1;0.22;95;Completed
1;1;0.21;98;Completed
1;1;0.2;97;Completed
1;1;0.23;94;Completed
1;1;0.24;90;Completed
1;1;0.22;100;Completed
1;1;0.2;106;Completed
1;1;0.24;103;Completed
1;1;0.21;101;Completed
1;1;0.23;107;Completed
1;1;0.23;111;Completed
1;1;0.24;110;Completed
1;1;0.2;113;Completed
1;1;0.21;119;Completed
1;1;0.22;114;Completed
1;1;0.21;128;Completed
1;1;0.23;121;Completed
1;1;0.22;123;Completed
1;1;0.2;127;Completed
1;1;0.24;125;Completed
1;1;0.21;138;Completed
1;1;0.23;131;Completed
1;1;0.22;136;Completed
1;1;0.2;134;Completed
1;1;0.24;132;Completed
1;1;0.22;147;Completed
1;1;0.2;143;Completed
1;1;0.23;144;Completed
1;1;0.24;146;Completed
1;1;0.21;148;Completed
1;1;0.23;152;Completed
1;1;0.21;151;Completed
1;1;0.2;150;Completed
1;1;0.24;157;Completed
1;1;0.22;153;Completed
1;1;0.24;160;Completed
1;1;0.22;164;Completed
1;1;0.21;162;Completed
1;1;0.23;161;Completed
1;1;0.2;167;Completed
1;1;0.2;177;Completed
1;1;0.22;174;Completed
1;1;0.23;172;Completed
1;1;0.21;178;Completed
1;1;0.24;176;Completed
1;1;0.24;188;Completed
1;1;0.22;182;Completed
1;1;0.2;181;Completed
1;1;0.21;189;Completed
1;1;0.23;186;Completed
1;1;0.24;192;Completed
1;1;0.22;190;Completed
1;1;0.23;191;Completed
1;1;0.21;198;Completed
1;1;0.2;193;Completed
1;1;0.27;5;Failed
1;1;0.26;1;Failed
1;1;0.28;9;Completed
1;1;0.29;2;Failed
1;1;0.25;8;Failed
1;1;0.27;12;Completed
1;1;0.29;19;Completed
1;1;0.28;10;Completed
1;1;0.26;15;Completed
1;1;0.25;17;Completed
1;1;0.28;26;Completed
1;1;0.27;20;Completed
1;1;0.25;25;Completed
1;1;0.26;23;Completed
1;1;0.29;27;Completed
1;1;0.25;36;Completed
1;1;0.29;38;Completed
1;1;0.28;35;Completed
1;1;0.26;39;Completed
1;1;0.27;30;Completed
1;1;0.29;42;Completed
1;1;0.26;45;Completed
1;1;0.28;47;Completed
1;1;0.25;40;Completed
1;1;0.27;44;Completed
1;1;0.26;58;Completed
1;1;0.27;57;Completed
1;1;0.29;52;Completed
1;1;0.28;59;Completed
1;1;0.25;54;Completed
1;1;0.25;63;Completed
1;1;0.28;61;Completed
1;1;0.29;66;Completed
1;1;0.27;60;Completed
1;1;0.26;67;Completed
1;1;0.27;70;Completed
1;1;0.28;76;Completed
1;1;0.26;71;Completed
1;1;0.29;78;Completed
1;1;0.25;79;Completed
1;1;0.26;86;Completed
1;1;0.25;84;Completed
1;1;0.28;80;Completed
1;1;0.27;87;Completed
1;1;0.29;82;Completed
1;1;0.28;99;Completed
1;1;0.29;94;Completed
1;1;0.26;95;Completed
1;1;0.27;98;Completed
1;1;0.25;97;Completed
1;1;0.27;101;Completed
1;1;0.29;106;Completed
1;1;0.25;100;Completed
1;1;0.28;105;Completed
1;1;0.26;102;Completed
1;1;0.25;111;Completed
1;1;0.29;113;Completed
1;1;0.26;112;Completed
1;1;0.28;119;Completed
1;1;0.27;117;Completed
1;1;0.26;123;Completed
1;1;0.27;125;Completed
1;1;0.28;129;Completed
1;1;0.25;121;Completed
1;1;0.29;120;Completed
1;1;0.26;136;Completed
1;1;0.28;130;Completed
1;1;0.29;135;Completed
1;1;0.25;137;Completed
1;1;0.27;132;Completed
1;1;0.26;145;Completed
1;1;0.27;144;Completed
1;1;0.25;141;Completed
1;1;0.28;143;Completed
1;1;0.29;140;Completed
1;1;0.25;151;Completed
1;1;0.29;156;Completed
1;1;0.27;152;Completed
1;1;0.28;157;Completed
1;1;0.26;159;Completed
1;1;0.27;169;Completed
1;1;0.28;168;Completed
1;1;0.25;165;Completed
1;1;0.26;164;Completed
1;1;0.29;162;Completed
1;1;0.26;171;Completed
1;1;0.28;170;Completed
1;1;0.27;179;Completed
1;1;0.25;178;Completed
1;1;0.29;172;Completed
1;1;0.29;186;Completed
1;1;0.28;188;Completed
1;1;0.25;189;Completed
1;1;0.26;181;Completed
1;1;0.27;182;Completed
1;1;0.29;199;Completed
1;1;0.27;191;Completed
1;1;0.25;197;Completed
1;1;0.28;195;Completed
1;1;0.26;193;Completed
1;1;0.32;1;Failed
1;1;0.31;2;Failed
1;1;0.34;7;Failed
1;1;0.3;0;Failed
1;1;0.33;8;Failed
1;1;0.34;14;Completed
1;1;0.31;12;Completed
1;1;0.32;13;Completed
1;1;0.33;17;Completed
1;1;0.3;19;Completed
1;1;0.32;28;Completed
1;1;0.3;21;Completed
1;1;0.31;26;Completed
1;1;0.33;20;Completed
1;1;0.34;29;Completed
1;1;0.3;31;Completed
1;1;0.31;36;Completed
1;1;0.34;32;Completed
1;1;0.33;30;Completed
1;1;0.32;33;Completed
1;1;0.33;47;Completed
1;1;0.3;43;Completed
1;1;0.34;42;Completed
1;1;0.32;40;Completed
1;1;0.31;46;Completed
1;1;0.34;52;Completed
1;1;0.3;58;Completed
1;1;0.33;55;Completed
1;1;0.31;54;Completed
1;1;0.32;50;Completed
1;1;0.32;69;Completed
1;1;0.33;62;Completed
1;1;0.31;60;Completed
1;1;0.3;61;Completed
1;1;0.34;64;Completed
1;1;0.34;71;Completed
1;1;0.3;75;Completed
1;1;0.33;72;Completed
1;1;0.32;76;Completed
1;1;0.31;78;Completed
1;1;0.34;89;Completed
1;1;0.3;88;Completed
1;1;0.32;86;Completed
1;1;0.31;85;Completed
1;1;0.33;82;Completed
1;1;0.32;95;Completed
1;1;0.3;93;Completed
1;1;0.33;97;Completed
1;1;0.34;90;Completed
1;1;0.31;94;Completed
1;1;0.32;108;Completed
1;1;0.31;104;Completed
1;1;0.34;102;Completed
1;1;0.3;103;Completed
1;1;0.33;109;Completed
1;1;0.34;110;Completed
1;1;0.31;114;Completed
1;1;0.32;113;Completed
1;1;0.3;111;Completed
1;1;0.33;117;Completed
1;1;0.34;122;Completed
1;1;0.31;126;Completed
1;1;0.3;121;Completed
1;1;0.33;120;Completed
1;1;0.32;124;Completed
1;1;0.32;130;Completed
1;1;0.31;138;Completed
1;1;0.3;136;Completed
1;1;0.34;137;Completed
1;1;0.33;133;Completed
1;1;0.3;144;Completed
1;1;0.32;140;Completed
1;1;0.33;146;Completed
1;1;0.34;141;Completed
1;1;0.31;149;Completed
1;1;0.3;155;Completed
1;1;0.32;150;Completed
1;1;0.33;157;Completed
1;1;0.34;156;Completed
1;1;0.31;152;Completed
1;1;0.31;160;Completed
1;1;0.33;169;Completed
1;1;0.3;167;Completed
1;1;0.34;164;Completed
1;1;0.32;166;Completed
1;1;0.34;176;Completed
1;1;0.32;170;Completed
1;1;0.33;173;Completed
1;1;0.31;171;Completed
1;1;0.3;178;Completed
1;1;0.3;188;Completed
1;1;0.34;185;Completed
1;1;0.32;180;Completed
1;1;0.31;182;Completed
1;1;0.33;189;Completed
1;1;0.3;196;Completed
1;1;0.31;197;Completed
1;1;0.33;190;Completed
1;1;0.34;195;Completed
1;1;0.32;194;Completed
1;1;0.38;6;Failed
1;1;0.35;8;Failed
1;1;0.36;7;Failed
1;1;0.39;9;Completed
1;1;0.37;5;Failed
1;1;0.35;13;Completed
1;1;0.38;15;Completed
1;1;0.39;14;Completed
1;1;0.36;18;Completed
1;1;0.37;17;Completed
1;1;0.36;21;Completed
1;1;0.39;24;Completed
1;1;0.38;28;Completed
1;1;0.37;23;Completed
1;1;0.35;22;Completed
1;1;0.39;33;Completed
1;1;0.37;37;Completed
1;1;0.38;38;Completed
1;1;0.35;30;Completed
1;1;0.36;31;Completed
1;1;0.39;45;Completed
1;1;0.38;41;Completed
1;1;0.35;49;Completed
1;1;0.36;48;Completed
1;1;0.37;40;Completed
1;1;0.37;53;Completed
1;1;0.39;59;Completed
1;1;0.35;54;Completed
1;1;0.36;52;Completed
1;1;0.38;56;Completed
1;1;0.37;67;Completed
1;1;0.38;62;Completed
1;1;0.36;63;Completed
1;1;0.35;69;Completed
1;1;0.39;64;Completed
1;1;0.36;77;Completed
1;1;0.39;70;Completed
1;1;0.37;74;Completed
1;1;0.38;75;Completed
1;1;0.35;72;Completed
1;1;0.38;83;Completed
1;1;0.37;81;Completed
1;1;0.35;87;Completed
1;1;0.36;84;Completed
1;1;0.39;89;Completed
1;1;0.36;95;Completed
1;1;0.35;92;Completed
1;1;0.37;96;Completed
1;1;0.38;91;Completed
1;1;0.39;94;Completed
1;1;0.36;101;Completed
1;1;0.38;102;Completed
1;1;0.37;104;Completed
1;1;0.39;106;Completed
1;1;0.35;105;Completed
1;1;0.36;115;Completed
1;1;0.38;113;Completed
1;1;0.35;116;Completed
1;1;0.37;119;Completed
1;1;0.39;111;Completed
1;1;0.38;127;Completed
1;1;0.37;125;Completed
1;1;0.36;128;Completed
1;1;0.35;124;Completed
1;1;0.39;121;Completed
1;1;0.38;133;Completed
1;1;0.36;136;Completed
1;1;0.35;137;Completed
1;1;0.39;131;Completed
1;1;0.37;139;Completed
1;1;0.37;142;Completed
1;1;0.39;146;Completed
1;1;0.38;144;Completed
1;1;0.35;148;Completed
1;1;0.36;145;Completed
1;1;0.39;159;Completed
1;1;0.36;155;Completed
1;1;0.35;150;Completed
1;1;0.38;158;Completed
1;1;0.37;152;Completed
1;1;0.38;165;Completed
1;1;0.37;162;Completed
1;1;0.35;161;Completed
1;1;0.39;169;Completed
1;1;0.36;166;Completed
1;1;0.35;175;Completed
1;1;0.38;170;Completed
1;1;0.36;173;Completed
1;1;0.39;177;Completed
1;1;0.37;172;Completed
1;1;0.37;180;Completed
1;1;0.35;182;Completed
1;1;0.38;184;Completed
1;1;0.36;186;Completed
1;1;0.39;188;Completed
1;1;0.39;199;Completed
1;1;0.36;196;Completed
1;1;0.38;193;Completed
1;1;0.35;195;Completed
1;1;0.37;192;Completed
1;1;0.43;7;Failed
1;1;0.41;6;Failed
1;1;0.44;3;Failed
1;1;0.4;2;Failed
1;1;0.42;4;Failed
1;1;0.43;16;Completed
1;1;0.4;11;Completed
1;1;0.42;12;Completed
1;1;0.44;10;Completed
1;1;0.41;17;Completed
1;1;0.4;22;Completed
1;1;0.42;27;Completed
1;1;0.41;24;Completed
1;1;0.44;29;Completed
1;1;0.43;23;Completed
1;1;0.43;36;Completed
1;1;0.42;38;Completed
1;1;0.4;32;Completed
1;1;0.44;37;Completed
1;1;0.41;33;Completed
1;1;0.44;44;Completed
1;1;0.41;41;Completed
1;1;0.4;43;Completed
1;1;0.43;47;Completed
1;1;0.42;42;Completed
1;1;0.43;58;Completed
1;1;0.4;52;Completed
1;1;0.42;51;Completed
1;1;0.41;54;Completed
1;1;0.44;59;Completed
1;1;0.41;66;Completed
1;1;0.4;61;Completed
1;1;0.44;62;Completed
1;1;0.43;65;Completed
1;1;0.42;64;Completed
1;1;0.41;76;Completed
1;1;0.42;70;Completed
1;1;0.4;72;Completed
1;1;0.44;75;Completed
1;1;0.43;77;Completed
1;1;0.4;82;Completed
1;1;0.43;81;Completed
1;1;0.41;88;Completed
1;1;0.44;86;Completed
1;1;0.42;87;Completed
1;1;0.43;96;Completed
1;1;0.41;95;Completed
1;1;0.44;97;Completed
1;1;0.4;94;Completed
1;1;0.42;92;Completed
1;1;0.44;104;Completed
1;1;0.41;105;Completed
1;1;0.43;100;Completed
1;1;0.4;101;Completed
1;1;0.42;103;Completed
1;1;0.43;115;Completed
1;1;0.44;114;Completed
1;1;0.42;110;Completed
1;1;0.4;113;Completed
1;1;0.41;112;Completed
1;1;0.44;122;Completed
1;1;0.42;128;Completed
1;1;0.4;121;Completed
1;1;0.41;125;Completed
1;1;0.43;124;Completed
1;1;0.4;136;Completed
1;1;0.43;139;Completed
1;1;0.44;138;Completed
1;1;0.41;133;Completed
1;1;0.42;130;Completed
1;1;0.4;143;Completed
1;1;0.42;145;Completed
1;1;0.41;140;Completed
1;1;0.44;142;Completed
1;1;0.43;144;Completed
1;1;0.43;151;Completed
1;1;0.41;155;Completed
1;1;0.42;156;Completed
1;1;0.44;158;Completed
1;1;0.4;152;Completed
1;1;0.43;163;Completed
1;1;0.44;160;Completed
1;1;0.42;161;Completed
1;1;0.41;165;Completed
1;1;0.4;168;Completed
1;1;0.43;171;Completed
1;1;0.4;172;Completed
1;1;0.42;176;Completed
1;1;0.44;177;Completed
1;1;0.41;174;Completed
1;1;0.4;181;Completed
1;1;0.43;185;Completed
1;1;0.42;183;Completed
1;1;0.41;187;Completed
1;1;0.44;188;Completed
1;1;0.44;198;Completed
1;1;0.41;197;Completed
1;1;0.4;195;Completed
1;1;0.43;194;Completed
1;1;0.42;190;Completed
1;1;0.49;3;Failed
1;1;0.47;4;Failed
1;1;0.45;5;Failed
1;1;0.48;6;Failed
1;1;0.46;0;Failed
1;1;0.46;19;Completed
1;1;0.45;14;Completed
1;1;0.47;17;Completed
1;1;0.49;12;Completed
1;1;0.48;13;Completed
1;1;0.47;25;Completed
1;1;0.45;26;Completed
1;1;0.49;22;Completed
1;1;0.48;24;Completed
1;1;0.46;28;Completed
1;1;0.46;32;Completed
1;1;0.48;39;Completed
1;1;0.47;34;Completed
1;1;0.49;36;Completed
1;1;0.45;30;Completed
1;1;0.47;48;Completed
1;1;0.45;45;Completed
1;1;0.48;49;Completed
1;1;0.46;44;Completed
1;1;0.49;40;Completed
1;1;0.45;56;Completed
1;1;0.48;52;Completed
1;1;0.49;50;Completed
1;1;0.47;54;Completed
1;1;0.46;51;Completed
1;1;0.49;65;Completed
1;1;0.45;62;Completed
1;1;0.46;63;Completed
1;1;0.48;66;Completed
1;1;0.47;67;Completed
1;1;0.47;75;Completed
1;1;0.45;70;Completed
1;1;0.48;79;Completed
1;1;0.46;74;Completed
1;1;0.49;77;Completed
1;1;0.46;84;Completed
1;1;0.45;86;Completed
1;1;0.48;83;Completed
1;1;0.47;85;Completed
1;1;0.49;82;Completed
1;1;0.46;97;Completed
1;1;0.49;90;Completed
1;1;0.47;99;Completed
1;1;0.45;96;Completed
1;1;0.48;92;Completed
1;1;0.49;102;Completed
1;1;0.45;100;Completed
1;1;0.47;103;Completed
1;1;0.46;108;Completed
1;1;0.48;107;Completed
1;1;0.45;114;Completed
1;1;0.49;111;Completed
1;1;0.46;119;Completed
1;1;0.47;117;Completed
1;1;0.48;112;Completed
1;1;0.49;123;Completed
1;1;0.45;124;Completed
1;1;0.47;126;Completed
1;1;0.46;129;Completed
1;1;0.48;125;Completed
1;1;0.48;139;Completed
1;1;0.47;135;Completed
1;1;0.45;134;Completed
1;1;0.49;137;Completed
1;1;0.46;138;Completed
1;1;0.46;143;Completed
1;1;0.48;148;Completed
1;1;0.45;149;Completed
1;1;0.47;144;Completed
1;1;0.49;145;Completed
1;1;0.48;158;Completed
1;1;0.46;155;Completed
1;1;0.47;154;Completed
1;1;0.49;150;Completed
1;1;0.45;159;Completed
1;1;0.45;168;Completed
1;1;0.47;164;Completed
1;1;0.48;161;Completed
1;1;0.46;163;Completed
1;1;0.49;160;Completed
1;1;0.46;173;Completed
1;1;0.45;170;Completed
1;1;0.49;178;Completed
1;1;0.47;179;Completed
1;1;0.48;176;Completed
1;1;0.49;188;Completed
1;1;0.47;187;Completed
1;1;0.46;183;Completed
1;1;0.48;180;Completed
1;1;0.45;185;Completed
